kvp_kv,filtration_inherent_mmal,filtration_added_mmal,filtration_added_mmcu,anode_angle_deg,hvl_mmal
102,2.5,0.0,0.4,9.0,8.398414432215567
102,2.5,1.0,0.0,9.0,4.4077927474368455
102,2.5,1.0,0.1,9.0,6.092508790638697
102,2.5,1.0,0.4,9.0,8.541683417766713
103,2.5,0.0,0.0,9.0,3.777140509592462
103,2.5,0.0,0.1,9.0,5.756159255181342
103,2.5,0.0,0.4,9.0,8.45597073946726
103,2.5,1.0,0.0,9.0,4.454151401375723
103,2.5,1.0,0.1,9.0,6.146617743645235
103,2.5,1.0,0.4,9.0,8.599313700796165
104,2.5,0.0,0.0,9.0,3.8191066005183028
104,2.5,0.0,0.1,9.0,5.808463408767546
104,2.5,0.0,0.4,9.0,8.51266213080163
104,2.5,1.0,0.0,9.0,4.500236474470987
104,2.5,1.0,0.1,9.0,6.200096506291994
104,2.5,1.0,0.4,9.0,8.656082245371312
105,2.5,0.0,0.0,9.0,3.860934853052804
105,2.5,0.0,0.1,9.0,5.860227160393863
105,2.5,0.0,0.4,9.0,8.568541101164548
105,2.5,1.0,0.0,9.0,4.54604916228287
105,2.5,1.0,0.1,9.0,6.252968193813872
105,2.5,1.0,0.4,9.0,8.712043733011509
106,2.5,0.0,0.0,9.0,3.902677712370232
106,2.5,0.0,0.1,9.0,5.911508211782987
106,2.5,0.0,0.4,9.0,8.623645685935255
106,2.5,1.0,0.0,9.0,4.5916463701384105
106,2.5,1.0,0.1,9.0,6.3052888108411445
106,2.5,1.0,0.4,9.0,8.767234465538763
107,2.5,0.0,0.0,9.0,3.944311286878052
107,2.5,0.0,0.1,9.0,5.962292539428003
107,2.5,0.0,0.4,9.0,8.678035829285546
107,2.5,1.0,0.0,9.0,4.637001199415905
107,2.5,1.0,0.1,9.0,6.357052808855454
107,2.5,1.0,0.4,9.0,8.821717231473883
108,2.5,0.0,0.0,9.0,3.9858455855136037
108,2.5,0.0,0.1,9.0,6.012623811010753
108,2.5,0.0,0.4,9.0,8.731759182455805
108,2.5,1.0,0.0,9.0,4.682134657466594
108,2.5,1.0,0.1,9.0,6.408309273189672
108,2.5,1.0,0.4,9.0,8.875537752876856
109,2.5,0.0,0.0,9.0,4.027277191888025
109,2.5,0.0,0.1,9.0,6.0625202456401395
109,2.5,0.0,0.4,9.0,8.784845513018539
109,2.5,1.0,0.0,9.0,4.727051814536464
109,2.5,1.0,0.1,9.0,6.459079049720451
109,2.5,1.0,0.4,9.0,8.92872615793797
110,2.5,0.0,0.0,9.0,4.068609467673922
110,2.5,0.0,0.1,9.0,6.111999443478452
110,2.5,0.0,0.4,9.0,8.837339834518273
110,2.5,1.0,0.0,9.0,4.771759956090453
110,2.5,1.0,0.1,9.0,6.5093836994511225
110,2.5,1.0,0.4,9.0,8.981327929419626
111,2.5,0.0,0.0,9.0,4.109846333886899
111,2.5,0.0,0.1,9.0,6.16106984661147
111,2.5,0.0,0.4,9.0,8.889259745505536
111,2.5,1.0,0.0,9.0,4.8162632980721245
111,2.5,1.0,0.1,9.0,6.559233622360864
111,2.5,1.0,0.4,9.0,9.03336032013596
112,2.5,0.0,0.0,9.0,4.151000810335785
112,2.5,0.0,0.1,9.0,6.2097660010067735
112,2.5,0.0,0.4,9.0,8.940649165781187
112,2.5,1.0,0.0,9.0,4.8605819704651205
112,2.5,1.0,0.1,9.0,6.608666912420944
112,2.5,1.0,0.4,9.0,9.084866673916595
113,2.5,0.0,0.0,9.0,4.192072764571424
113,2.5,0.0,0.1,9.0,6.258096071569
113,2.5,0.0,0.4,9.0,8.991528276968758
113,2.5,1.0,0.0,9.0,4.904717479994765
113,2.5,1.0,0.1,9.0,6.65769405867329
113,2.5,1.0,0.4,9.0,9.135867106410682
114,2.5,0.0,0.0,9.0,4.233072327229708
114,2.5,0.0,0.1,9.0,6.306080802721526
114,2.5,0.0,0.4,9.0,9.041928631771114
114,2.5,1.0,0.0,9.0,4.948683311349842
114,2.5,1.0,0.1,9.0,6.706337870231162
114,2.5,1.0,0.4,9.0,9.186393158548526
115,2.5,0.0,0.0,9.0,4.2740081666209875
115,2.5,0.0,0.1,9.0,6.3537394301730945
115,2.5,0.0,0.4,9.0,9.091869484443563
115,2.5,1.0,0.0,9.0,4.992492124077286
115,2.5,1.0,0.1,9.0,6.754618986126825
115,2.5,1.0,0.4,9.0,9.236463375138296
116,2.5,0.0,0.0,9.0,4.314880965869824
116,2.5,0.0,0.1,9.0,6.401080291790343
116,2.5,0.0,0.4,9.0,9.141370515874321
116,2.5,1.0,0.0,9.0,5.0361461268674965
116,2.5,1.0,0.1,9.0,6.802547899019198
116,2.5,1.0,0.4,9.0,9.286097362455312
117,2.5,0.0,0.0,9.0,4.35569726709099
117,2.5,0.0,0.1,9.0,6.448117661399753
117,2.5,0.0,0.4,9.0,9.190452867304321
117,2.5,1.0,0.0,9.0,5.0796545183526325
117,2.5,1.0,0.1,9.0,6.850140306652541
117,2.5,1.0,0.4,9.0,9.335316243805595
118,2.5,0.0,0.0,9.0,4.396458711913889
118,2.5,0.0,0.1,9.0,6.494867101211151
118,2.5,0.0,0.4,9.0,9.239138337519757
118,2.5,1.0,0.0,9.0,5.123023229714335
118,2.5,1.0,0.1,9.0,6.897414275244731
118,2.5,1.0,0.4,9.0,9.384141242074888
119,2.5,0.0,0.0,9.0,4.437155436432763
119,2.5,0.0,0.1,9.0,6.541331795027789
119,2.5,0.0,0.4,9.0,9.287439402236647
119,2.5,1.0,0.0,9.0,5.166246476455211
119,2.5,1.0,0.1,9.0,6.944375444981886
119,2.5,1.0,0.4,9.0,9.432584624525022
120,2.5,0.0,0.0,9.0,4.477789640620511
120,2.5,0.0,0.1,9.0,6.58751673386001
120,2.5,0.0,0.4,9.0,9.335361808482567
120,2.5,1.0,0.0,9.0,5.20932764193541
120,2.5,1.0,0.1,9.0,6.991029111204657
120,2.5,1.0,0.4,9.0,9.480651898882497
121,2.5,0.0,0.0,9.0,4.518364217759377
121,2.5,0.0,0.1,9.0,6.633436174934022
121,2.5,0.0,0.4,9.0,9.382928795706391
121,2.5,1.0,0.0,9.0,5.252272877547298
121,2.5,1.0,0.1,9.0,7.037391834292013
121,2.5,1.0,0.4,9.0,9.528365996324226
122,2.5,0.0,0.0,9.0,4.558881898747759
122,2.5,0.0,0.1,9.0,6.679100901665354
122,2.5,0.0,0.4,9.0,9.430151134402397
122,2.5,1.0,0.0,9.0,5.295088078512552
122,2.5,1.0,0.1,9.0,7.083475343995537
122,2.5,1.0,0.4,9.0,9.575737272415516
123,2.5,0.0,0.0,9.0,4.599344536572618
123,2.5,0.0,0.1,9.0,6.724515932438994
123,2.5,0.0,0.4,9.0,9.477036885351051
123,2.5,1.0,0.0,9.0,5.337775847670669
123,2.5,1.0,0.1,9.0,7.1292853218458845
123,2.5,1.0,0.4,9.0,9.622773686338277
124,2.5,0.0,0.0,9.0,4.6397627003281094
124,2.5,0.0,0.1,9.0,6.769696165180424
124,2.5,0.0,0.4,9.0,9.523606440719664
124,2.5,1.0,0.0,9.0,5.38034765632762
124,2.5,1.0,0.1,9.0,7.174837789450103
124,2.5,1.0,0.4,9.0,9.669495536041817
125,2.5,0.0,0.0,9.0,4.680138536125211
125,2.5,0.0,0.1,9.0,6.814648196823236
125,2.5,0.0,0.4,9.0,9.569866692976634
125,2.5,1.0,0.0,9.0,5.422807102988763
125,2.5,1.0,0.1,9.0,7.220139975378478
125,2.5,1.0,0.4,9.0,9.7159093617916
126,2.5,0.0,0.0,9.0,4.722803397185266
126,2.5,0.0,0.1,9.0,6.861390089816049
126,2.5,0.0,0.4,9.0,9.615793547711775
126,2.5,1.0,0.0,9.0,5.467496628677585
126,2.5,1.0,0.1,9.0,7.267019550768436
126,2.5,1.0,0.4,9.0,9.7618435784253
127,2.5,0.0,0.0,9.0,4.765382444179882
127,2.5,0.0,0.1,9.0,6.907823567730526
127,2.5,0.0,0.4,9.0,9.661364311656895
127,2.5,1.0,0.0,9.0,5.512013775401717
127,2.5,1.0,0.1,9.0,7.313566887607412
127,2.5,1.0,0.4,9.0,9.8074278952173
128,2.5,0.0,0.0,9.0,4.807875552027408
128,2.5,0.0,0.1,9.0,6.953958949277789
128,2.5,0.0,0.4,9.0,9.70659468361297
128,2.5,1.0,0.0,9.0,5.556361886539781
128,2.5,1.0,0.1,9.0,7.359793905332522
128,2.5,1.0,0.4,9.0,9.85267778413382
129,2.5,0.0,0.0,9.0,4.850272632618721
129,2.5,0.0,0.1,9.0,6.999800302707658
129,2.5,0.0,0.4,9.0,9.751494138231223
129,2.5,1.0,0.0,9.0,5.6005357583736455
129,2.5,1.0,0.1,9.0,7.405706857382299
129,2.5,1.0,0.4,9.0,9.897602161678416
